"Access denied.","Přístup odepřen."
"Can not find webservice adapter.","Nelze najít adaptér webservice."
"Client Session Timeout (sec.)","Časový limit relace klienta (sec.)"
"Default Response Charset","Výchozí znaková sada reakce"
"Email","E-mail"
"Enable WSDL Cache","Povolit WSDL Cache"
"General Settings","Obecné nastavení"
"Invalid webservice adapter specified.","Zadán neplatný webservice adaptér."
"Invalid webservice handler specified.","Zadán neplatný webservice handler."
"Magento Core API","Magento Core API"
"Magento Core API Section","Magento Core API Section"
"SOAP/XML-RPC - Roles","SOAP/XML-RPC - role"
"SOAP/XML-RPC - Users","SOAP/XML-RPC - uživatelé"
"Unable to login.","Nelze se přihlásit."
"User Name","Uživatelské jméno"
"WS-I Compliance","WS-I Compliance"
"Web Services","Web Services"
"Your account has been deactivated.","Váš účet byl deaktivován."
