"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Pozor</strong>: Captcha rozlišuje malá a velká písmena."
"After number of attempts to login","Po počtu pokusů o přihlášení"
"Always","Vždy"
"CAPTCHA","CAPTCHA"
"CAPTCHA Timeout (minutes)","Časový limit (minuty) CAPTCHA"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen","Je-li vybráno, CAPTCHA pro formuláře ""Vytvořit uživatele"" a ""Zapomenuté heslo"" je vždy povolena"
"Case Sensitive","Rozlišuje malá a velká písmena"
"Displaying Mode","Režim zobrazení"
"Enable CAPTCHA in Admin","Povolit CAPTCHA v Admin rozhraní"
"Enable CAPTCHA on Frontend","Povolit CAPTCHA na Frontendu"
"Font","Písmo"
"Forms","Formuláře"
"If 0 is specified, CAPTCHA on the Login form will be always available.","Pokud je zadána 0, CAPTCHA bude vždy k dispozici na přihlašovacím formuláři."
"Incorrect CAPTCHA.","Nesprávná CAPTCHA."
"Number of Symbols","Počet symbolů"
"Number of Unsuccessful Attempts to Login","Počet neúspěšných pokusů o přihlášení"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Zadejte maximálně 8 symbolů. Rozsah povolených (např. 3-5)"
"Please type the letters below","Zadejte prosím níže uvedené znaky"
"Please type the letters from the image:","Zadejte prosím znaky z obrázku:"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","V tomto poli použijte pouze písmena (a-z nebo A-Z) nebo číslice (0-9). Žádné mezery nebo jiné znaky nejsou povoleny. < br /> Podobně vypadající znaky (""i"", ""l"", ""1"") snížují pravděpodobnost správného zadání ze strany zákazníka."
"Reload captcha","Znovu načíst captcha"
"Symbols Used in CAPTCHA","Symboly používané v CAPTCHA"
