"A block identifier with the same properties already exists in the selected store.","A block identifier with the same properties already exists in the selected store."
"A directory with the same name already exists. Please try another folder name.","Adresář se stejným názvem již existuje. Zadejte jiný název složky."
"A page URL key for specified store already exists.","Klíč URL stránky pro vybraný obchod již existuje."
"Action","Akce"
"Add New Block","Přidat nový blok"
"Add New Page","Přidat novou stránku"
"All Countries","Všechny země"
"An error occurred while saving the page.","Došlo k chybě při ukládání stránky."
"Anchor Custom Text","Vlastní text kotvy"
"Anchor Custom Title","Vlastní název kotvy"
"Are you sure you want to delete current folder?","Jste si jisti, že chcete odstranit aktuální složku?"
"Are you sure you want to delete the selected file?","Jste si jisti, že chcete odstranit vybraný soubor?"
"Block","Blok"
"Block Information","Informace o bloku"
"Block Title","Název bloku"
"CMS","CMS"
"CMS Content Wrapper","CMS obsah obálky"
"CMS Home Page","CMS domovská stránka"
"CMS No Cookies Page","CMS stránka No Cookies"
"CMS No Route Page","CMS No Route Page"
"CMS No-Route Page","CMS No-Route Page"
"CMS Page","CMS stránka"
"CMS Page Link","CMS odkaz na stránku"
"CMS Page Link Block Template","CMS Page Link Block Template"
"CMS Page Link Inline Template","CMS Page Link Inline Template"
"CMS Pages (All)","CMS stránky (všechny)"
"CMS Static Block","CMS statický blok"
"CMS Static Block Default Template","CMS Static Block Default Template"
"Cannot create new directory.","Nelze vytvořit nový adresář."
"Cannot delete directory %s.","Adresář %s nelze odstranit."
"Cannot delete root directory %s.","Kořenový adresář %s nelze odstranit."
"Cannot upload file.","Soubor nelze nahrát."
"Collapse All","Sbalit vše"
"Content","Obsah"
"Content Heading","Záhlaví obsahu"
"Content Management","Správa obsahu"
"Contents of a Static Block","Obsah statického bloku"
"Create Folder...","Vytvořit složku..."
"Custom Design","Vlastní design"
"Custom Design From","Vlastní design od"
"Custom Design To","Vlastní design do"
"Custom Layout","Vlastní rozložení"
"Custom Layout Update XML","XML pro aktualizaci vlastního rozložení"
"Custom Theme","Vlastní motiv"
"Customer Tax Class Information","Informace o daňové třídě zákazníka"
"Date Created","Datum vytvoření"
"Delete Block","Odstranit blok"
"Delete File","Smazat soubor"
"Delete Folder","Smazat složku"
"Delete Page","Odstranit stránku"
"Description","Popis"
"Design","Design"
"Disabled","Vypnuto"
"Disabled Completely","Zcela vypnuto"
"Disabled by Default","Vypnuto dle výchozího nastavení"
"Edit Block","Upravit blok"
"Edit Block '%s'","Upravit blok ""%s"""
"Edit Page","Upravit stránku"
"Edit Page '%s'","Upravit stránku ""%s"""
"Enable WYSIWYG Editor","Povolit WYSIWYG editor"
"Enabled","Zapnuto"
"Enabled by Default","Zapnuto dle výchozího nastavení"
"Expand All","Rozbalit vše"
"General Information","Všeobecné informace"
"Go to Home Page","Přejít na domovskou stránku"
"Home","Home"
"ID","ID"
"Identifier","Identifikátor"
"If empty, the Page Title will be used","Je-li prázdné, bude použit název stránky"
"Images (%s)","Obrázky (%s)"
"Insert File","Vložit soubor"
"Invalid folder name. Please, use alphanumeric characters, underscores and dashes.","Název složky je neplatný. Prosím použijte alfanumerické znaky, podtržítka a pomlčky."
"Keywords","Klíčová slova"
"Last Modified","Naposledy změněno"
"Layout","Rozložení"
"Layout Update XML","XML pro aktualizaci rozložení"
"Link to a CMS Page","Odkaz na stránku CMS"
"Manage Pages","Správa stránek"
"Media Gallery","Galerie médií"
"Media Storage","Úložiště médií"
"Meta Data","Meta data"
"Meta Description","Meta popis"
"Meta Keywords","Meta klíčová slova"
"New Block","Nový blok"
"New Folder Name:","Název nové složky:"
"New Page","Nová stránka"
"No files found","Žádný soubor nenalezen"
"Page Information","Informace o stránce"
"Page Layout","Rozložení stránky"
"Page Status","Stav stránky"
"Page Title","Název stránky"
"Pages","Stránky"
"Product Tax Class Information","Product Tax Class Information"
"Redirect to CMS-page if Cookies are Disabled","Redirect to CMS-page if Cookies are Disabled"
"Relative to Website Base URL","Relativní k základní URL adresu webu"
"Save Block","Uložit blok"
"Save Page","Uložit stránku"
"Save Process","Save Process"
"Select Block...","Vyberte blok..."
"Select Page...","Vyberte stránku..."
"Show Breadcrumbs for CMS Pages","Zobrazit drobečkovou navigaci na CMS stránkách"
"Show Notice if JavaScript is Disabled","Zobrazit upozornění, pokud je JavaScript vypnut"
"Static Blocks","Statické bloky"
"Status","Stav"
"Storage Root","Kořen úložiště"
"Store View","Pohled obchodu"
"Template","Šablona"
"The block has been deleted.","Blok byl odstraněn."
"The block has been saved.","Blok byl uložen."
"The directory %s is not writable by server.","Server nemá právo zápisu do adresáře %s."
"The page URL key cannot consist only of numbers.","Klíč URL stránky se nemůže skládat pouze z čísel."
"The page URL key contains capital letters or disallowed symbols.","Klíč URL stránky obsahuje velká písmena nebo nepovolené znaky."
"The page has been deleted.","Stránka byla odstraněna."
"The page has been saved.","Stránka byla uložena."
"The static block content cannot contain  directive with its self.","Statický blok obsah nesmí obsahovat odkaz sám na sebe."
"This block no longer exists.","Tento blok již neexistuje."
"This page no longer exists.","Tato stránka již neexistuje."
"Title","Název"
"URL Key","Klíč URL"
"Unable to find a block to delete.","Nelze najít blok k odstranění."
"Unable to find a page to delete.","Nelze najít stránku k odstranění."
"WYSIWYG Options","WYSIWYG možnosti"
"px.","px."
