"Collected Files Count","Počet shromážděných souborů"
"Compilation","Kompilace"
"Compilation State","Stav kompilace"
"Compilation error","Chyba kompilace"
"Compiled","Zkompilováno"
"Compiled Scopes Count","Compiled Scopes Count"
"Compiler Status","Status kompilárotu"
"Compiler include path is disabled.","Compiler include path is disabled."
"Compiler include path is enabled.","Compiler include path is enabled."
"Directory ""%s"" must be writeable","Adresář ""%s"" musí být zapisovatelný"
"Disable","Zakázat"
"Disabled","Zakázáno"
"Enable","Povolit"
"Enabled","Povoleno"
"File ""%s"" must be writeable","Soubor ""%s"" musí být zapisovatelný"
"Not Compiled","Není zkompilováno"
"Run Compilation Process","Spustit proces kompilace"
"Scopes Compilation Settings","Scopes Compilation Settings"
"System","Systém"
"The compilation has completed.","Kompilace byla dokončena."
"Tools","Nástroje"
