"10 minutes","10 minut"
"15 minutes","15 minut"
"20 minutes","20 minut"
"30 minutes","30 minut"
"5 minutes","5 minut"
"Cron (Scheduled Tasks) - all the times are in minutes","Cron (Scheduled Tasks) - all the times are in minutes"
"Daily","Denně"
"Failure History Lifetime","Failure History Lifetime"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set."
"Generate Schedules Every","Generate Schedules Every"
"History Cleanup Every","History Cleanup Every"
"Hourly","Každou hodinu"
"Invalid callback: %s::%s does not exist","Neplatné zpětné volání: %s::%s neexistuje"
"Invalid model/method definition, expecting ""model/class::method"".","Neplatná definice metody/modelu , je očekáváno ""model/třída::metoda""."
"Minute Intervals","Minutové intervaly"
"Missed if Not Run Within","Missed if Not Run Within"
"Monthly","Měsíčně"
"No callbacks found","Žádná zpětná volání nenalezena"
"Schedule Ahead for","Schedule Ahead for"
"Success History Lifetime","Success History Lifetime"
"Too late for the schedule.","Too late for the schedule."
"Unable to delete the cron task.","Nelze odstranit úkol cronu."
"Unable to save the cron expression.","Unable to save the cron expression."
"Weekly","Týdně"
