"%s file does not exists or is not readable","%s file does not exists or is not readable"
"-- Please Select --","– Vyberte –"
"Adapter must be an instance of Mage_ImportExport_Model_Import_Adapter_Abstract","Adapter must be an instance of Mage_ImportExport_Model_Import_Adapter_Abstract"
"Adapter object must be an instance of %s","Adapter object must be an instance of %s"
"Adapter type must be a non empty string","Adapter type must be a non empty string"
"Append Complex Data","Přidat komplexní data"
"Attribute Code","Kód atributu"
"Attribute Label","Název atributu"
"Attribute does not has options, so filtering is impossible","Attribute does not has options, so filtering is impossible"
"Begin data validation","Začít ověřování dat"
"Begin export of %s","Begin export of %s"
"Begin import of ""%s"" with ""%s"" behavior","Begin import of ""%s"" with ""%s"" behavior"
"CSV","CSV"
"Can not determine attribute filter type","Can not determine attribute filter type"
"Can not find required columns: %s","Nelze nalézt požadované sloupce: %s"
"Cannot get autoincrement value","Cannot get autoincrement value"
"Check Data","Kontrola dat"
"Checked rows: %d, checked entities: %d, invalid rows: %d, total errors: %d","Checked rows: %d, checked entities: %d, invalid rows: %d, total errors: %d"
"Column names have duplicates","Column names have duplicates"
"Column names is empty or is not an array","Column names is empty or is not an array"
"Column names: ""%s"" are invalid","Column names: ""%s"" are invalid"
"Customers","Zákazníci"
"Data is invalid or file is not uploaded","Data is invalid or file is not uploaded"
"Delete Entities","Odstranit entity"
"Destination directory is not writable","Cílový adresář není zapisovatelný"
"Destination file is not writable","Cílový soubor není zapisovatelný"
"Destination file path must be a string","Cílová cesta k souboru musí být řetězec"
"Done import data validation","Done import data validation"
"Duplicate Unique Attribute for '%s'","Duplicate Unique Attribute for '%s'"
"Entity Type","Typ entit"
"Entity adapter obejct must be an instance of Mage_ImportExport_Model_Export_Entity_Abstract","Entity adapter obejct must be an instance of Mage_ImportExport_Model_Export_Entity_Abstract"
"Entity adapter object must be an instance of Mage_ImportExport_Model_Import_Entity_Abstract","Entity adapter object must be an instance of Mage_ImportExport_Model_Import_Entity_Abstract"
"Entity is unknown","Neznámá entita"
"Entity type model must be an instance of Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract","Entity type model must be an instance of Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract"
"Entity type model must be an instance of Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract","Entity type model must be an instance of Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract"
"Error in data structure: behaviors are mixed","Error in data structure: behaviors are mixed"
"Error in data structure: entity codes are mixed","Error in data structure: entity codes are mixed"
"Errors limit (%d) reached. Please fix errors and re-upload file","Errors limit (%d) reached. Please fix errors and re-upload file"
"Export","Export"
"Export File Format","Formát souboru pro export"
"Export Settings","Nastavení exportu"
"Export has been done.","Export byl proveden."
"Exported %s rows.","Exported %s rows."
"File does not contain data.","Soubor neobsahuje žádná data."
"File does not contain data. Please upload another one","File does not contain data. Please upload another one"
"File format is unknown","Neznámý formát souboru"
"File is partially valid, but import is not possible","File is partially valid, but import is not possible"
"File is totally invalid. Please fix errors and re-upload file","File is totally invalid. Please fix errors and re-upload file"
"File is valid! To start import process press ""Import"" button","File is valid! To start import process press ""Import"" button"
"File is valid, but import is not possible","File is valid, but import is not possible"
"File was not uploaded","File was not uploaded"
"Filter","Filtr"
"From","Od"
"Header column names already set","Header column names already set"
"Import","Import"
"Import Behavior","Chování importu"
"Import Settings","Nastavení importu"
"Import has been done successfuly.","Import has been done successfuly."
"Import successfully done.","Import successfully done."
"Import/Export","Import/Export"
"Input entity code is not equal to entity adapter code","Input entity code is not equal to entity adapter code"
"Invalid entity","Neplatná entita"
"Invalid entity model","Invalid entity model"
"Invalid file format","Neplatný formát souboru"
"Invalid parameters","Invalid parameters"
"Invalid seek position","Invalid seek position"
"Invalid value for '%s'","Invalid value for '%s'"
"Invalid value for '%s' column","Invalid value for '%s' column"
"No filter data provided","No filter data provided"
"No source specified","No source specified"
"No valid data sent","No valid data sent"
"No writer specified","No writer specified"
"Node does not has model token tag","Node does not has model token tag"
"Not implemented yet","Not implemented yet"
"Please fix errors and re-upload file","Please fix errors and re-upload file"
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors"
"Products","Produkty"
"Replace Existing Complex Data","Nahradit komplexní data"
"Select File to Import","Vyberte soubor pro import"
"Skip","Přeskočit"
"Source file moving failed","Source file moving failed"
"Source file path must be a string","Source file path must be a string"
"Source is not set","Source is not set"
"Status","Stav"
"There are no product types available for export","There are no product types available for export"
"There is no data for export","There is no data for export"
"To","To"
"Total size of uploadable files must not exceed %s","Total size of uploadable files must not exceed %s"
"Unknown attribute filter type","Unknown attribute filter type"
"Uploaded file has no extension","Uploaded file has no extension"
"Validation finished successfully","Validation finished successfully"
"in rows","in rows"
"in rows:","in rows:"
