"Actions","Akce"
"Add Answer","Přidat odpověď"
"Add New Answer","Přidat novou odpověď"
"Add New Poll","Přidat novou anketu"
"Answer Title","Název odpovědi"
"Answer Title:","Název odpovědi:"
"Answer with the same title in this poll","Answer with the same title in this poll"
"Are you sure you want to delete it?","Are you sure you want to delete it?"
"Assigned Answers","Assigned Answers"
"Closed","Closed"
"Community Poll","Community Poll"
"Date Closed","Date Closed"
"Date Posted","Date Posted"
"Delete","Smazat"
"Delete Answer","Delete Answer"
"Delete Poll","Delete Poll"
"Disallow Voting in a Poll Multiple Times from Same IP-address","Disallow Voting in a Poll Multiple Times from Same IP-address"
"Edit Answer '%s'","Edit Answer '%s'"
"Edit Poll '%s'","Edit Poll '%s'"
"Edit Poll Answer","Edit Poll Answer"
"ID","ID"
"Invalid Answer.","Invalid Answer."
"New Poll","Nová Anketa"
"Number of Responses","Počet odpovědí"
"Open","Open"
"Poll Answers","Poll Answers"
"Poll Information","Poll Information"
"Poll Manager","Správce anket"
"Poll Question","Poll Question"
"Poll information","Poll information"
"Poll with the same question","Poll with the same question"
"Polls","Ankety"
"Save Answer","Save Answer"
"Save Poll","Uložit anketu"
"Status","Stav"
"The answer has been saved.","The answer has been saved."
"The poll does not exist.","The poll does not exist."
"Unable to find an answer to delete.","Unable to find an answer to delete."
"Visible In","Visible In"
"Vote","Hlasovat"
"Votes Count","Počet hlasů"
"Votes Count:","Počet hlasů:"
