"Add Recipient","Přidat příjemce"
"Allow for Guests","Povolit pro hosty"
"An invalid email address for recipient was entered.","Zadali jste neplatnou e-mailovou adresu příjemce."
"At least one recipient must be specified.","Je třeba zadat alespoň jednoho příjemce."
"Back","Zpět"
"Catalog Product Email to a Friend","Catalog Product Email to a Friend"
"Email Address","E-mailová adresa"
"Email Address:","E-mailová adresa:"
"Email Templates","E-mailové šablony"
"Email to a Friend","E-mail příteli"
"Email:","E-mail:"
"Enabled","Zapnuto"
"Invalid Sender Information","Invalid Sender Information"
"Invalid sender email.","Invalid sender email."
"Limit Sending By","Limit Sending By"
"Max Products Sent in 1 Hour","Max Products Sent in 1 Hour"
"Max Recipients","Max Recipients"
"Maximum %d email addresses allowed.","Maximum %d email addresses allowed."
"Message:","Zpráva:"
"Name","Jméno"
"Name:","Jméno:"
"No more than %d emails can be sent at a time.","No more than %d emails can be sent at a time."
"Please define a correct Cookie instance.","Please define a correct Cookie instance."
"Please define a correct Product instance.","Please define a correct Product instance."
"Please define the correct Sender information.","Please define the correct Sender information."
"Recipient:","Recipient:"
"Remove Email","Odebrat e-mail"
"Select Email Template","Select Email Template"
"Send Email","Send Email"
"Send product to a friend","Send product to a friend"
"Sender:","Sender:"
"Some emails were not sent.","Some emails were not sent."
"The link to a friend was sent.","The link to a friend was sent."
"The message cannot be empty.","The message cannot be empty."
"The messages cannot be sent more than %d times in an hour","The messages cannot be sent more than %d times in an hour"
"The sender name cannot be empty.","The sender name cannot be empty."
"There were some problems with the data.","There were some problems with the data."
"You have exceeded limit of %d sends in an hour","You have exceeded limit of %d sends in an hour"
