"%s","%s"
"-- Please Select --","– Vyberte –"
"Actions","Akce"
"Add Layout Update","Přidat aktualizaci rozložení"
"Add New Widget Instance","Přidat novou instanci widgetu"
"All","Vše"
"All Pages","Všechny stránky"
"All Product Types","Všechny typy produktů"
"An error occurred during saving a widget: %s","Došlo k chybě při ukládání widgetu: %s"
"Anchor Categories","Anchor Categories"
"Apply","Použít"
"Assign to Store Views","Přiřadit k pohledům obchodů"
"Big Image","Velký obrázek"
"Block Reference","Block Reference"
"CMS","CMS"
"Categories","Kategorie"
"Choose...","Vyberte..."
"Close","Zavřít‏"
"Continue","Pokračovat"
"Default Template","Výchozí šablona"
"Delete","Odstranit"
"Design Package/Theme","Design Package/Theme"
"Export to:","Export to:"
"Frontend Properties","Frontend Properties"
"Generic Pages","Generic Pages"
"Images","Obrázky"
"Insert Widget","Vložit widget"
"Insert Widget...","Vložte widget..."
"Layout Updates","Aktualizace rozložení"
"Manage Widget Instances","Manage Widget Instances"
"New Instance","Nová Instance"
"New Widget Instance","Nové Instance widgetu"
"Next page","Další stránka"
"Non-Anchor Categories","Non-Anchor Categories"
"Not Selected","Not Selected"
"Open Chooser","Open Chooser"
"Page","Stránka"
"Please Select Block Reference First","Please Select Block Reference First"
"Previous page","Předchozí stránka"
"Products","Produkty"
"Remove Layout Update","Odebrat aktualizaci rozložení"
"Save and Continue Edit","Uložit a pokračovat v editaci"
"Select All","Vybrat vše"
"Select Visible","Vybrat viditelné"
"Settings","Nastavení"
"Sort Order","Řadit podle"
"Sort Order of widget instances in the same block reference","Sort Order of widget instances in the same block reference"
"Specific %s","Specific %s"
"Specified Page","Zadaná stránka"
"Template","Šablona"
"The information in this tab has been changed.","Informace v této kartě se změnila."
"The widget instance has been deleted.","Instance widgetu byla odstraněna."
"The widget instance has been saved.","Instance widgetu byla uložena."
"This tab contains invalid data. Please solve the problem before saving.","Tato karta obsahuje neplatná data. Prosím, vyřešte problém před uložením."
"Thumbnail","Náhled"
"Total %d records found","Počet nalezených záznamů: %d"
"Type","Typ"
"Unselect All","Zrušit výběr všech položek"
"Unselect Visible","Zrušit výběr viditelných položek"
"View","Zobrazit"
"Widget","Widget"
"Widget ""%s""","Widget ""%s"""
"Widget ID","ID widgetu"
"Widget Insertion","Vložení widgetu"
"Widget Instance","Instance widgetu"
"Widget Instance Title","Název instance widgetu"
"Widget Options","Nastavení widgetu"
"Widget Type","Typ widgetu"
"Widget Type is not specified","Není zadán typ widgetu"
"Widget instance is not full complete to create.","Widget instance is not full complete to create."
"Widgets","Widgety"
"Wrong widget instance specified.","Zadána chybná instance widgetu."
"items selected","vybrané položky"
"of %s pages","%s stránek"
"per page","na stránce"
