"-- Please Select --","– Vyberte –"
"Add to Cart","Přidat do košíku"
"Choose an Option...","Zvolte možnost..."
"Configurable Swatches","Konfigurovatelné vzorníky"
"Enabled","Zapnuto"
"General Settings","Obecné nastavení"
"Height","Výška"
"In Stock","Skladem"
"Innermost dimensions, not including border, in pixels","Vnitřní rozměry, bez rámečku, v pixelech"
"Out of Stock","Není skladem"
"Previous","Předchozí"
"Product Attribute to Use for Swatches in Product Listing","Product Attribute to Use for Swatches in Product Listing"
"Product Attributes to Show as Swatches in Product Detail","Product Attributes to Show as Swatches in Product Detail"
"Remove This Item","Odebrat tuto položku"
"Swatch Dimensions in Layered Navigation","Rozměry vzorníku ve vrstvené navigaci"
"Swatch Dimensions in Product Listing","Rozměry vzorníku v nabídce produktů"
"Swatch Dimensions on Product Detail Page","Rozměry vzorníku v detailu produktu"
"Width","Šířka"
