"""%s"" contains not only digit characters.","""%s"" contains not only digit characters."
"""%s"" does not fit the entered date format.","""%s"" neodpovídá zadanému formátu data."
"""%s"" exceeds the allowed file size.","""%s"" překračuje povolenou velikost souboru."
"""%s"" exceeds the allowed length.","""%s"" překračuje povolenou délku."
"""%s"" has not only alphabetic and digit characters.","""%s"" has not only alphabetic and digit characters."
"""%s"" has not only alphabetic characters.","""%s"" has not only alphabetic characters."
"""%s"" height exceeds allowed value of %s px.","""%s"" height exceeds allowed value of %s px."
"""%s"" invalid type entered.","""%s"" invalid type entered."
"""%s"" is a required value.","""%s"" je požadovaná hodnota."
"""%s"" is an empty string.","""%s"" je prázdný řetězec."
"""%s"" is not a valid URL.","""%s"" není platná adresa URL."
"""%s"" is not a valid date.","""%s"" není platné datum."
"""%s"" is not a valid email address.","""%s"" není platná e-mailová adresa."
"""%s"" is not a valid file","""%s"" není platný soubor"
"""%s"" is not a valid file extension.","""%s"" není platná přípona souboru."
"""%s"" is not a valid file.","""%s"" není platný soubor."
"""%s"" is not a valid hostname.","""%s"" není platným názvem hostitele."
"""%s"" is not a valid image format","""%s"" není platný formát obrázku"
"""%s"" length must be equal or greater than %s characters.","""%s"" délka musí být rovna nebo větší než %s znaků."
"""%s"" length must be equal or less than %s characters.","""%s"" délka musí být rovna nebo menší než %s znaků."
"""%s"" width exceeds allowed value of %s px.","""%s"" šířka přesahuje povolenou hodnotu %s px."
"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' se zdá být název DNS hostitele, ale nemohou extrahovat část TLD"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' se zdá být název DNS hostitele, ale nemohou najít TLD v seznamu známých hodnot"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","'%value%' appears to be a DNS hostname but contains a dash in an invalid position"
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded"
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' appears to be a local network name but local network names are not allowed"
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' appears to be an IP address, but IP addresses are not allowed"
"'%value%' does not appear to be a valid URI hostname","'%value%' does not appear to be a valid URI hostname"
"'%value%' does not appear to be a valid local network name","'%value%' does not appear to be a valid local network name"
"'%value%' does not match the expected structure for a DNS hostname","'%value%' does not match the expected structure for a DNS hostname"
"A joint field with this alias (%s) is already declared","A joint field with this alias (%s) is already declared"
"Add Option","Přidat volbu"
"An error occurred while loading a record, aborting. Error: %s","Došlo k chybě při načítání záznamu, končím. Chyba: %s"
"An error occurred while loading the collection, aborting. Error: %s","Došlo k chybě při načítání kolekce, končím. Chyba: %s"
"An error occurred while saving a record, aborting. Error: ","An error occurred while saving a record, aborting. Error: "
"Attempt to add an invalid object","Pokus o přidání neplatného objektu"
"Attribute '%s' used in configurable products","Atribut '%s' používaný v konfigurovatelných produktech"
"Attribute Code","Kód atributu"
"Attribute Label","Název atributu"
"Attribute Properties","Vlastnosti atributu"
"Attribute object is undefined","Objektu atributu není definován"
"Attribute set with the ""%s"" name already exists.","Sada atributů s názvem ""%s"" již existuje."
"Attribute with the same code","Atribut se stejným kódem"
"Can\'t create table: %s","Nelze vytvořit tabulku: %s"
"Catalog Input Type for Store Owner","Catalog Input Type for Store Owner"
"Current module EAV entity is undefined","Current module EAV entity is undefined"
"Current module pathname is undefined","Current module pathname is undefined"
"Data integrity: No header row found for attribute","Integrita dat: nebyl nalezen řádek záhlaví pro atribut"
"Date","Datum"
"Decimal Number","Desetinné číslo"
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","Default Product Listing Sort by does not exist in Available Product Listing Sort By."
"Default Value","Výchozí hodnota"
"Default option value is not defined","Není definována výchozí hodnota volby"
"Delete","Smazat"
"Dropdown","Rozbalovací seznam"
"Email","E-mail"
"Entity collection expected.","Entity collection expected."
"Entity collections expected.","Entity collections expected."
"Entity instance is not defined","Instance entity není definována"
"Entity is not initialized","Entita není inicializována"
"Entity object is undefined","Objekt entity není definován"
"Failed to load node %s from config","Failed to load node %s from config"
"For internal use. Must be unique with no spaces. Maximum length of attribute code must be less then %s symbols","Pro interní použití. Musí být unikátní hodnota neobsahující mezery a nepřesahující délku %s znaků."
"Form Element with the same attribute","Form Element with the same attribute"
"Form Fieldset with the same code","Form Fieldset with the same code"
"Form Type with the same code","Form Type with the same code"
"Form code is not defined","Form code is not defined"
"Frontend label is not defined","Frontend label is not defined"
"Input Validation for Store Owner","Input Validation for Store Owner"
"Integer Number","Celé číslo"
"Invalid EAV attribute.","Neplatný atribut EAV."
"Invalid alias, already exists in joint attributes","Invalid alias, already exists in joint attributes"
"Invalid attribute name: %s","Neplatný název atributu: %s"
"Invalid attribute requested: %s","Invalid attribute requested: %s"
"Invalid attribute type","Neplatný typ atributu"
"Invalid character encountered in increment ID: %s","Invalid character encountered in increment ID: %s"
"Invalid date","Neplatné datum"
"Invalid default date","Neplatné výchozí datum"
"Invalid default decimal value","Neplatná výchozí hodnota desetinného čísla"
"Invalid entity specified","Uvedena neplatná entita"
"Invalid entity supplied.","Uvedena neplatná entita."
"Invalid entity supplied: %s","Uvedena neplatná entita: %s"
"Invalid entity type","Neplatný typ entity"
"Invalid entity_id, skipping the record.","Invalid entity_id, skipping the record."
"Invalid entity_type specified: %s","Invalid entity_type specified: %s"
"Invalid foreign key","Neplatný cizí klíč"
"Invalid form type.","Neplatný formát formuláře."
"Invalid joint fields","Invalid joint fields"
"Invalid store specified","Uveden neplatný obchod"
"Invalid type given. String expected","Invalid type given. String expected"
"Joined field with this alias is already declared","Joined field with this alias is already declared"
"Joint field or attribute expression with this alias is already declared","Joint field or attribute expression with this alias is already declared"
"Letters","Písmena"
"Letters (a-z, A-Z) or Numbers (0-9)","Písmena (a-z, A-Z) nebo čísla (0-9)"
"Loaded %d records","Načteno záznamů: %d"
"Maximum length of attribute code must be less then %s symbols","Maximální délka kódu atributu musí být menší než %s znaky"
"Multiple Select","Vícenásobný výběr"
"No","Ne"
"No options found in config node %s","No options found in config node %s"
"None","Nic"
"Not shared with other products","Není sdíleno s jinými produkty"
"Problem loading the collection, aborting. Error: %s","Problem loading the collection, aborting. Error: %s"
"Problem saving the collection, aborting. Error: %s","Problem saving the collection, aborting. Error: %s"
"Required","Požadováno"
"Saved %d record(s).","Uloženo záznamů: %d"
"Source model ""%s"" not found for attribute ""%s""","Source model ""%s"" not found for attribute ""%s"""
"System","Systém"
"Text Area","Textová oblast"
"Text Field","Textové pole"
"The value of attribute ""%s"" must be unique","Hodnota atributu ""%s"" musí být jedinečná"
"The value of attribute ""%s"" must be unique.","Hodnota atributu ""%s"" musí být jedinečná."
"This attribute is used in configurable products","Tento atribut se používá u konfigurovatelných produktů"
"URL","URL"
"Unique Value","Jedinečná hodnota"
"Unique Value (not shared with other products)","Jedinečná hodnota (nesmí být sdílena s jinými produkty)"
"Unknown parameter","Neznámý parametr"
"Values Required","Hodnoty vyžadovány"
"Wrong attribute group ID","Nesprávné ID skupiny atributů"
"Wrong attribute set ID","Nesprávné ID sady atributů"
"Wrong entity ID","Nesprávné ID entity"
"Wrong type definition for %s","Wrong type definition for %s"
"Yes","Ano"
"Yes/No","Ano/ne"
