"# of Uses","Počet použití"
"%s tag(s) have been accepted for moderation.","%s tagy byly přijaty k moderaci."
"<strong>Tag Name:</strong> %s","<strong>Název štítku:</strong> %s"
"Action","Akce"
"Add","Přidat"
"Add New Tag","Přidat nový štítek"
"Add Tags","Přidat štítky"
"Add Your Tags:","Přidat štítky:"
"Add tag(s) to product","Přidat štítky k produktu"
"Add to Cart","Přidat do košíku"
"Add to Wishlist","Add to Wishlist"
"All Tags","Všechny štítky"
"Approved","Schváleno"
"Are you sure you want to delete this tag?","Opravdu chcete smazat tento štítek?"
"Are you sure you want to do this?","Opravdu to chcete udělat?"
"Are you sure?","Opravdu?"
"Back","Zpět"
"Back to Tags List","Zpět na seznam štítků"
"Base Popularity","Base Popularity"
"Block Information","Informace o bloku"
"CSV","CSV"
"Catalog Product View","Catalog Product View"
"Change status","Změnit status"
"Click on a tag to view your corresponding products.","Kliknutím na štítek zobrazíte odpovídající produkty."
"Country","Země"
"Customer My Account My Tags List","Customer My Account My Tags List"
"Customer My Account Tag View","Customer My Account Tag View"
"Customer Since","Customer Since"
"Customers","Zákazníci"
"Customers Submitted this Tag","Customers Submitted this Tag"
"Customers Tagged '%s'","Customers Tagged '%s'"
"Delete","Smazat"
"Delete Tag","Odstranit štítek"
"Disabled","Vypnuto"
"Edit Tag '%s'","Upravit štítek '%s'"
"Email","E-mail"
"First Name","Jméno"
"General Information","Všeobecné informace"
"Grid","Mřížka"
"ID","ID"
"Info","Informace"
"Last Name","Příjmení"
"List","Seznam"
"Manage Tags","Správa štítků"
"My Recent Tags","Mé poslední štítky"
"My Tags","Mé štítky"
"Name","Jméno"
"New Tag","Nový štítek"
"No matches found.","Nenalezena žádná shoda."
"Other people marked this product with these tags:","Ostatní lidé označili tento produkt těmito štítky:"
"Pending","Čeká na vyřízení"
"Pending Tags","Čekající štítky"
"Popular","Oblíbené"
"Popular Tags","Oblíbené štítky"
"Price","Cena"
"Product Name","Název produktu"
"Product SKU","SKU produktu"
"Product Tag API","Product Tag API"
"Product Tags","Štítky produktu"
"Products","Produkty"
"Products Tagged by Administrators","Produkty oštítkované administrátory"
"Products Tagged by Customers","Produkty oštítkované zákazníky"
"Products Tagged with '%s'","Produkty oštítkované '%s'"
"Products tagged with '%s'","Produkty oštítkované '%s'"
"Rebuild Tag aggregation data","Rebuild Tag aggregation data"
"Remove","Odebrat"
"Remove product tag","Odebrat štítek produktu"
"Retrieve list of tags by product","Načíst seznam štítků podle produktu"
"Retrieve product tag info","Získat informace o štítcích produktu"
"SKU","SKU"
"Save Tag","Uložit štítek"
"Save and Continue Edit","Uložit a pokračovat v editaci"
"Status","Stav"
"Store View","Pohled obchodu"
"Tag","Štítek"
"Tag ""%s"" has already been added to the product.","Štítek ""%s"" byl již k produktu přidán."
"Tag ""%s"" has been added to the product.","Štítek ""%s"" byl přidán k produktu."
"Tag ""%s"" has been rejected by administrator.","Štítek ""%s"" byl zamítnut správcem."
"Tag Aggregation Data","Tag Aggregation Data"
"Tag Name","Název štítku"
"Tagged Products List","Seznam oštítkovaných produktů"
"Tags","Štítky"
"Tags List (All Available)","Tags List (All Available)"
"Tags List Before","Tags List Before"
"Tags:","Štítky:"
"Telephone","Telefon"
"The tag has been deleted.","Štítek byl odstraněn."
"There are no tags available.","K dispozici nejsou žádné štítky."
"Unable to find any products tagged with '%s' in the current store","Unable to find any products tagged with '%s' in the current store"
"Unable to remove tag. Please, try again later.","Unable to remove tag. Please, try again later."
"Unable to save tag(s).","Nelze uložit štítky."
"Update","Aktualizovat"
"Update product tag","Aktualizovat štítek produktu"
"Use spaces to separate tags. Use single quotes (') for phrases.","Pro oddělené tagů používejte mezery. Víceslovné tagy uzavřete do jednoduchých uvozovek (')."
"View All Tags","Zobrazit všechny tagy"
"View Customers","Zobrazit zákazníky"
"View Products","Zobrazit produkty"
"XML","XML"
"You have not tagged any products yet.","You have not tagged any products yet."
"ZIP/Post Code","PSČ / kód pošty"
"[STORE VIEW]","[POHLED OBCHODU]"
